"","y1","y2","y3","y4","x1","x2"
"1",3258488.5,16313993,78170983.5,155019655.5,0.1,0.1
"2",2798832.5,16701415,84186710,163534527,0.2,0.1
"3",2997006.5,19708582.5,98652568.5,189184780.5,0.3,0.1
"4",3604566.5,28515596,136448288,261514538,0.4,0.1
"5",6205946,47226606.5,240092696,440484813.5,0.5,0.1
"6",10629871.5,96317765,433995298,787027116,0.6,0.1
"7",16009796.5,236752260.5,1026847677.5,1748604850.5,0.7,0.1
"8",76895151.5,902098732,4036151092,6222388188.5,0.8,0.1
"9",441824471.5,6704948507,23899939352.5,34703751556.5,0.9,0.1
"10",2909370.5,17127018.5,87022561,164781088,0.1,0.2
"11",2916148,18517424.5,90980950.5,175197042.5,0.2,0.2
"12",2925123,21403373,106643822.5,201764934,0.3,0.2
"13",3784986.5,29294665.5,150488464,281511820,0.4,0.2
"14",6506481,49217564.5,251725939,462842138.5,0.5,0.2
"15",12715293,105563791,459412561,797524991.5,0.6,0.2
"16",35196906.5,272759557,1127463070.5,1982206652,0.7,0.2
"17",104587010,1114136883,4341062237.5,6976894837.5,0.8,0.2
"18",393643753.5,7350394313.5,24674444391.5,38616835894.5,0.9,0.2
"19",3030591,18499362.5,94714591,176566772,0.1,0.3
"20",3027483,19847698,98102657.5,186108713.5,0.2,0.3
"21",3072092,23987271,115196020,218409845.5,0.3,0.3
"22",3939768,34097863.5,153784839.5,305197999,0.4,0.3
"23",7684400.5,62832425,272329880.5,495399183.5,0.5,0.3
"24",10673617,109305229.5,521213644.5,867025439.5,0.6,0.3
"25",27608475.5,303519424,1220777085.5,2126679791.5,0.7,0.3
"26",62757437,1462780644.5,4848786915,7662489192.5,0.8,0.3
"27",901267650,8714405815.5,27286550433.5,42004816452,0.9,0.3
"28",3137270.5,19787660,100158536.5,192917451.5,0.1,0.4
"29",3113413,21691976.5,104392520,202604886.5,0.2,0.4
"30",3146807.5,26352285.5,125068166,234939990,0.3,0.4
"31",3158143,41567200,170783710,327985152.5,0.4,0.4
"32",5205383.5,66272552,304018707,562211327.5,0.5,0.4
"33",13278118,132379562,550344643.5,965488630,0.6,0.4
"34",34806421,346730675,1318982366.5,2252515117,0.7,0.4
"35",78218850.5,1417662959.5,5505590061.5,8397853161.5,0.8,0.4
"36",682892523.5,9022083750,28823041431.5,46416710761,0.9,0.4
"37",3227958,21693596.5,101999249.5,200123448.5,0.1,0.5
"38",3233354,22637864,107031059,211973786.5,0.2,0.5
"39",3248841,26108432.5,126294320.5,243911742.5,0.3,0.5
"40",4305143.5,38261999.5,176282642.5,339439094.5,0.4,0.5
"41",5507573,66839332,303255367,566539099.5,0.5,0.5
"42",13522562,138447409,547388701,984304774.5,0.6,0.5
"43",25173992.5,301893578,1450842197,2524455153.5,0.7,0.5
"44",133180994,1209597412.5,5477713143.5,8894751241,0.8,0.5
"45",532251610,10059225981.5,31265953870,47826239956,0.9,0.5
"46",3362328,21677620,109439194,210681461.5,0.1,0.6
"47",3355299.5,22800419.5,113577799.5,224722821.5,0.2,0.6
"48",3384846.5,28200148.5,135316600,261672613,0.3,0.6
"49",4785382,40044190.5,188705803.5,357813720,0.4,0.6
"50",6850645.5,71420236.5,326136820.5,628190000,0.5,0.6
"51",14231197.5,136044154,608966790,1078984776,0.6,0.6
"52",36145519,382404411,1466057054.5,2530677164.5,0.7,0.6
"53",125739308.5,1657418293.5,5973179458.5,9920311769.5,0.8,0.6
"54",462185857.5,10160189126,33455341293.5,50123283293,0.9,0.6
"55",3477399.5,25485218.5,114630135.5,223668341.5,0.1,0.7
"56",3456508,26708425,120764205,235211228,0.2,0.7
"57",3486539,31199644.5,142545776,280616544,0.3,0.7
"58",4806090.5,43662656,194815541.5,388375419.5,0.4,0.7
"59",8393320.5,70750202,352621533.5,667450562,0.5,0.7
"60",10787403.5,151175746,619964440,1143083216,0.6,0.7
"61",49612209,450755762.5,1610318068,2809163188.5,0.7,0.7
"62",115604971.5,1789934296,6697694056.5,10621762317,0.8,0.7
"63",888337081.5,9896697140,34378898030,55616634534.5,0.9,0.7
"64",3584873.5,26406034,119117793.5,246974614,0.1,0.8
"65",3598494,27732954,126827796,260130655,0.2,0.8
"66",3638008,32790483.5,149276354,324596349.5,0.3,0.8
"67",5583174,45560430,207502971,428551468,0.4,0.8
"68",6253101,81442863.5,357994349.5,727372761.5,0.5,0.8
"69",13940513,167357107,690999111,1313619690,0.6,0.8
"70",48813407,465503119,1705412804,3008598878.5,0.7,0.8
"71",160202658,2017922628.5,6674671217.5,11542168866,0.8,0.8
"72",1037095617,9464422118.5,34685968608,62952628481,0.9,0.8
"73",3698986.5,27497738.5,126052993,252250173,0.1,0.9
"74",3714598,28908965.5,133760985.5,265686611.5,0.2,0.9
"75",3728848.5,34825285.5,153853395,310252279,0.3,0.9
"76",3744303.5,47025482.5,219606668.5,447658110.5,0.4,0.9
"77",6541900.5,86333040.5,374535685.5,731449095,0.5,0.9
"78",17356416,166068386,726162299,1331199565.5,0.6,0.9
"79",46675909.5,473960496.5,1738048700.5,3029833872,0.7,0.9
"80",109112007.5,1963943044,7172932862.5,11987426438,0.8,0.9
"81",755855302.5,11007429937,41301887033.5,66293190558.5,0.9,0.9
